user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
What is the purpose of the DSLR framework?,"['DSLR: Document Refinement with Sentence-Level Re-ranking and Reconstruction to Enhance Retrieval-Augmented Generation\n2 Related Work\nRetrieval-Augmented Generation.\nTo address them, several studies have attempted to leverage the capabilities of LLMs to enhance their resilience against irrelevant knowledge. These approaches include crafting specialized prompts\n[Press et al. 2023](#bib.bib33)\n;\n[Cho et al. 2023](#bib.bib7)\n, training plug-in knowledge verification models\n[Baek et al. 2023](#bib.bib2)\n, adaptively retrieving the required knowledge\n[Jeong et al. 2024](#bib.bib11)\n;\n[Asai et al. 2024](#bib.bib1)\n;\n[Yu et al. 2023b](#bib.bib54)\n, and augmenting knowledge using the capabilities of the LLM itself\n[Yu et al. 2023a](#bib.bib53)\n. Among the promising solutions, recent studies show that further refining the retrieved documents into fine-grained knowledge can improve the RAG performance\n[Xu et al. 2024](#bib.bib52)\n;\n[Wang et al. 2024](#bib.bib47)\n;\n[Wang et al. 2023](#bib.bib49)\n;\n[Jin et al. 2024](#bib.bib13)\n. However, such refinement strategies generally require additional fine-tuning on a specific dataset, which might result in limited generalizability and high computational cost. By contrast, our proposed refinement framework removes irrelevant information with unsupervised sentence-level re-ranking and reconstruction steps by using off-the-shelf ranking models without requiring additional training costs.']","DSLR, which stands for Document Refinement with Sentence-Level Re-ranking and Reconstruction to Enhance Retrieval-Augmented Generation, is a refinement framework designed to remove irrelevant information using unsupervised sentence-level re-ranking and reconstruction steps via off-the-shelf ranking models, without requiring additional training costs.",Dr. Elias Thorne,PERFECT_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
"In which city and state was the conference for the paper titled ""Understanding Parametric Knowledge Injection in Retrieval-Augmented Generation"" held?","[""Understanding Parametric Knowledge Injection in Retrieval-Augmented Generation DOI: XXXXXXX.XXXXXXX Conference: Make sure to enter the correct conference title from your rights confirmation emai; June 03-05, 2018; Woodstock, NY ISBN: 978-1-4503-XXXX-X/18/06 CCS: Information systems Novelty in information retrieval\n1. Introduction\nTo address these challenges, recent research has explored context parameterization (\n[42](#bib.bib34)\n;\n[5](#bib.bib33)\n;\n[7](#bib.bib35)\n;\n[43](#bib.bib36)\n;\n[25](#bib.bib47)\n) , which encodes context into a small set of trainable parameters (e.g., soft prompts or LoRA adapters). These parameters are plugged into a frozen LLM and optimized using context-related objectives, typically supervised next-token prediction or QA-style training. At inference time, the model can access the contextual information through these internal parameters, rather than explicitly attending to external context tokens. This enables long contexts to be incorporated beyond the model's context window limit, while substantially reducing inference cost since the input sequence only contains the task instruction.""]","The conference for the paper ""Understanding Parametric Knowledge Injection in Retrieval-Augmented Generation"" was held in Woodstock, NY.",Dr. Elias Thorne,WEB_SEARCH_LIKE,LONG,single_hop_specific_query_synthesizer
What did B. Jinn write about long-context llms and rag?,"['Healthier LLMs: Retrieval-Augmented Generation for Public Health Question Answering\nReferences\n- [28] B. Jin, J. Yoon, J. Han, and S. O. Arik (2025) Long-context llms meet rag: overcoming challenges for long inputs in rag . In The Thirteenth International Conference on Learning Representations (ICLR) , External Links: [Link](https://openreview.net/forum?id=oU3tpaR8fm) Cited by: [§2.2](#S2.SS2.p1.1) .\n- [29] D. Jin, E. Pan, N. Oufattole, W. Weng, H. Fang, and P. Szolovits (2021) What disease does this patient have? a large-scale open domain question answering dataset from medical exams . Applied Sciences 11 ( 14 ), pp. 6421 . Cited by: [§2.3](#S2.SS3.p1.1) .\n- [30] S. Kim, J. Shin, Y. Cho, J. Jang, S. Longpre, H. Lee, S. Yun, S. Shin, S. Kim, J. Thorne, and M. Seo (2023) Prometheus: inducing fine-grained evaluation capability in language models . arXiv preprint arXiv:2310.08491 . External Links: [Document](https://dx.doi.org/10.48550/arXiv.2310.08491) , [Link](https://arxiv.org/abs/2310.08491) Cited by: [§2.3](#S2.SS3.p2.1) .']","B. Jin, along with J. Yoon, J. Han, and S. O. Arik (2025), wrote ""Long-context llms meet rag: overcoming challenges for long inputs in rag,"" which was presented in The Thirteenth International Conference on Learning Representations (ICLR).",Dr. Elias Thorne,MISSPELLED,MEDIUM,single_hop_specific_query_synthesizer
Can u tell me if the external posishunal robustnes was evaluted after DPO and what the results showd regarding the PSR for LLaMA3-8B-Instruct?,"['Stable-RAG: Mitigating Retrieval-Permutation-Induced \ue000 Hallucinations in Retrieval-Augmented Generation\n5 Experiments\n5.3 Further Analysis\nExternal Positional Robustness after DPO.\nFollowing prior settings in Figure\n[1](#S1.F1)\n, we evaluate PSR on 1,000 randomly sampled instances by inserting the gold document in varying positions in the retrieved context to assess external positional robustness using LLaMA3-8B-Instruct. As shown in Table\n[5](#S5.T5)\n, our method consistently achieves lower PSR across all positions than the baselines, indicating reduced sensitivity to document ordering and improved external robustness under positional perturbations, even when the gold document appears in less favorable or later positions within the context.']","External positional robustness after DPO was evaluated on 1,000 randomly sampled instances using LLaMA3-8B-Instruct by inserting the gold document in varying positions in the retrieved context. The results show that the method consistently achieves lower PSR across all positions than the baselines, which indicates improved external robustness under positional perturbations and reduced sensitivity to document ordering, even when the gold document is in later or less favorable positions within the context.",Dr. Elias Thorne,MISSPELLED,LONG,single_hop_specific_query_synthesizer
Who is Charls L. A. Clark?,"['Plan-and-Refine: Diverse and Comprehensive Retrieval-Augmented Generation\nReferences\n- Clarke et al. [2010] Charles L. A. Clarke, Nick Craswell, Ian Soboroff, and Gordon V. Cormack. Overview of the trec 2010 web track. In *Text Retrieval Conference* , 2010. URL [https://api.semanticscholar.org/CorpusID:16213318](https://api.semanticscholar.org/CorpusID:16213318) .\n- Clarke et al. [2011] Charles L. A. Clarke, Nick Craswell, Ian Soboroff, and Ellen M. Voorhees. Overview of the trec 2011 web track. In *Text Retrieval Conference* , 2011. URL [https://api.semanticscholar.org/CorpusID:30284167](https://api.semanticscholar.org/CorpusID:30284167) .\n- Clarke et al. [2012] Charles L. A. Clarke, Nick Craswell, and Ellen M. Voorhees. Overview of the trec 2012 web track. In *Text Retrieval Conference* , 2012. URL [https://api.semanticscholar.org/CorpusID:11517775](https://api.semanticscholar.org/CorpusID:11517775) .\n- Devlin et al. [2019] Jacob Devlin, Ming-Wei Chang, Kenton Lee, and Kristina Toutanova. BERT: Pre-training of deep bidirectional transformers for language understanding. In Jill Burstein, Christy Doran, and Thamar Solorio, editors, *Proceedings of the 2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers)* , pages 4171-4186, Minneapolis, Minnesota, June 2019. Association for Computational Linguistics. doi: 10.18653/v1/N19-1423 . URL [https://aclanthology.org/N19-1423/](https://aclanthology.org/N19-1423/) .']","Charles L. A. Clarke is an author who co-authored the ""Overview of the trec 2010 web track"" (2010), the ""Overview of the trec 2011 web track"" (2011), and the ""Overview of the trec 2012 web track"" (2012), all published in the Text Retrieval Conference.",Dr. Elias Thorne,MISSPELLED,SHORT,single_hop_specific_query_synthesizer
What was published in the Proceedings of the 6th Clinical NLP Workshop?,"['Configurable Clinical Information Extraction with Agentic RAG: What Works, What Breaks, and Why\nReferences\n- Yao et al. (2024) L. Yao, H. Hochheiser, W. Yoon, S. Goldner, and G. Savova Overview of the 2024 shared task on chemotherapy treatment timeline extraction . In Proceedings of the 6th Clinical NLP Workshop , External Links: [Document](https://dx.doi.org/10.18653/v1/2024.clinicalnlp-1.53) Cited by: [§2](#S2.p1.1) .\n- Yao et al. (2023) S. Yao, J. Zhao, D. Yu, N. Du, I. Shafran, K. Narasimhan, and Y. Cao ReAct: synergizing reasoning and acting in language models . In International Conference on Learning Representations , External Links: [Document](https://dx.doi.org/10.48550/arXiv.2210.03629) Cited by: [§2](#S2.p3.1) , [§3.2](#S3.SS2.p2.1) .']","The Proceedings of the 6th Clinical NLP Workshop included the work by Yao et al. (2024) titled ""Overview of the 2024 shared task on chemotherapy treatment timeline extraction"".",Dr. Aris Thorne,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer
what Qwen2.5-7B score for SSFO- \lambda \lambda at 7?,"['SSFO: Self-Supervised Faithfulness Optimization for Retrieval-Augmented Generation\n4 Experiments\n4.1 Faithfulness Evaluation Results\n\n Qwen2.5-7B, 3 = ✓. Qwen2.5-7B, 4 = 82.13%. Qwen2.5-7B, 5 = 55.34%. Qwen2.5-7B, 6 = 83.13%. Qwen2.5-7B, 7 = 91.80%. Qwen2.5-7B, 8 = 23.81%. Qwen2.5-7B, 9 = 49.30%. Qwen2.5-7B, 10 = 15.23%. Qwen2.5-7B, 11 = 72.84%. Qwen2.5-7B, 1 = Post-Training. Qwen2.5-7B, 2 = SCOPE. Qwen2.5-7B, 3 = ✗. Qwen2.5-7B, 4 = 79.75%. Qwen2.5-7B, 5 = 44.90%. Qwen2.5-7B, 6 = 87.98%. Qwen2.5-7B, 7 = 78.50%. Qwen2.5-7B, 8 = 36.26%. Qwen2.5-7B, 9 = 60.20%. Qwen2.5-7B, 10 = 16.18%. Qwen2.5-7B, 11 = 51.03%. Qwen2.5-7B, 1 = Post-Training. Qwen2.5-7B, 2 = SSFO. Qwen2.5-7B, 3 = ✗. Qwen2.5-7B, 4 = 84.18%. Qwen2.5-7B, 5 = 57.66%. Qwen2.5-7B, 6 = 83.88%. Qwen2.5-7B, 7 = 92.00%. Qwen2.5-7B, 8 = 24.49%. Qwen2.5-7B, 9 = 54.60%. Qwen2.5-7B, 10 = 15.96%. Qwen2.5-7B, 11 = 79.01%. Qwen2.5-7B, 1 = Post-Training. Qwen2.5-7B, 2 = SSFO- λ \\lambda. Qwen2.5-7B, 3 = ✗. Qwen2.5-7B, 4 = 84.88%. Qwen2.5-7B, 5 = 60.77%. Qwen2.5-7B, 6 = 84.48%. Qwen2.5-7B, 7 = 93.30%. Qwen2.5-7B, 8 = 23.96%. Qwen2.5-7B, 9 = 62.80%. Qwen2.5-7B, 10 = 15.60%. Qwen2.5-7B, 11 = 74.07%.']","For Qwen2.5-7B using SSFO- \lambda \lambda, the score at 7 is 93.30%.",Dr. Aris Thorne,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
How does L-Face4RAG perform compared to previous FCE methods for RAG?,"[""Face4RAG: Factual Consistency Evaluation for Retrieval Augmented Generation in Chinese Conference: Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining; August 25-29, 2024; Barcelona, Spain Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD '24), August 25-29, 2024, Barcelona, Spain DOI: 10.1145/3637528.3671656 ISBN: 979-8-4007-0490-1/24/08 CCS: Computing methodologies Natural language processing CCS: General and reference Evaluation\n1. Introduction\nFinally, we conduct extensive experiments to verify the effectiveness of L-Face4RAG. Compared to previous FCE methods for RAG, L-Face4RAG attains substantially higher accuracy on both synthetic and real-world datasets, regardless of the error type or underlying LLM. Notably, although it is motivated by FCE in Chinese RAG, its superiority is consistent on other FCE tasks. Specifically, additional experiments on English FCE benchmarks for RAG (\n[Es et al. 2023](#bib.bib14)\n;\n[Hu et al. 2023](#bib.bib19)\n) , summarization (\n[Pagnoni et al. 2021](#bib.bib35)\n;\n[Fabbri et al. 2021](#bib.bib15)\n) , dialogue (\n[Honovich et al. 2021](#bib.bib18)\n;\n[Gupta et al. 2021](#bib.bib17)\n) and fact verification (\n[Schuster et al. 2021](#bib.bib38)\n) show that L-Face4RAG achieves SOTA on most of the tasks (6 out of 7), as well as a substantially higher averaged score. We further conduct ablation studies to verify the core designs of L-Face4RAG, i.e., the logic-preserving answer decomposition approach and two-stage consistency evaluation with carefully designed COT prompts.\nThe contributions of this work are summarized as follows:""]","L-Face4RAG attains substantially higher accuracy on both synthetic and real-world datasets compared to previous FCE methods for RAG, regardless of the underlying LLM or error type.",Dr. Aris Thorne,PERFECT_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
what SynthesizRR do?,['SynthesizRR : Generating Diverse Datasets with Retrieval Augmentation\nAppendix L Licensing\nL.2 Corpora\n- • RealNews : custom licence as per [https://docs.google.com/forms/d/1LMAUeUtHNPXO9koyAIlDpvyKsLSYlrBj3rYhC30a7Ak/viewform?edit_requested=true](https://docs.google.com/forms/d/1LMAUeUtHNPXO9koyAIlDpvyKsLSYlrBj3rYhC30a7Ak/viewform?edit_requested=true) . The code repository is Apache Licence 2.0 as per [https://github.com/rowanz/grover/blob/master/LICENSE](https://github.com/rowanz/grover/blob/master/LICENSE)\n- • Products : ( [Ni et al. 2019](#bib.bib35) ) does not specify a licence but has made the data available for research at: [https://nijianmo.github.io/amazon/index.html#complete-data](https://nijianmo.github.io/amazon/index.html#complete-data) .\n- • CMU Movie Summary : ( [Bamman et al. 2013](#bib.bib3) ) does not specify a licence but has made the data available for research at: [https://www.cs.cmu.edu/˜ark/personas/](https://www.cs.cmu.edu/~ark/personas/) .'],SynthesizRR is used for generating diverse datasets with retrieval augmentation.,Dr. Aris Thorne,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
What is the GRAMMER methodolgy?,"['GRAMMAR: Grounded and Modular Methodology for Assessment of Closed-Domain Retrieval-Augmented Language Models\nAppendix D Details of SQL Template Generation\nD.1 Constraints/Guidelines for Creating SQL Templates\nSelecting Attributes That Are Understandable to Humans\nThe SQL template generator is required to follow the constraint: ""The selected and condition columns in the query MUST BE MEANINGFUL and DESCRIPTIVE to ensure the queries are easily understood by non-technical users."".']",GRAMMAR stands for Grounded and Modular Methodology for Assessment of Closed-Domain Retrieval-Augmented Language Models.,Dr. Elias Thorne,MISSPELLED,SHORT,single_hop_specific_query_synthesizer
